,Latitude_casas,Longitude_casas,,,Latitude_departamentos,Longitude_departamentos
,19.3205819,-99.2099873,,,,
,,,,,,
,19.3131369,-99.2410397,,,,
,,,,,,
,,,,,,
,19.3295108,-99.2293924,,,,
,,,,,,
,19.3682222,-99.2980026,,,,
,,,,,,
,19.4014827,-99.2293959,,,,
,19.3295108,-99.2293924,,,,
,19.3668017,-99.1724994,,,,
,19.4572672,-99.2215147,,,,
,19.3205819,-99.2099873,,,,
,19.4015715,-99.246484,,,,
,19.5158444,-99.1327474,,,,
,19.3130702,-99.2120326,,,,
,19.3893136,-99.242616,,,,
,19.4153976,-99.1636991,,,,
,19.4137724,-99.2253071,,,,
,19.3161219,-99.215989,,,,
,19.4249374,-99.2134442,,,,
,19.3412128,-99.2175339,,,,
,38.2477536,-6.3036538,,,,
,19.3725281,-99.266432,,,,
,19.3909815,-99.2439166,,,,
,19.3466069,-99.1319853,,,,
,19.4235019,-99.2143189,,,,
,19.3168577,-99.2410097,,,,
,19.4034734,-99.2456812,,,,
,,,,,,
,,,,,,
,19.27809,-99.1787291,,,,
,19.2915354,-99.1719095,,,,
,19.3552105,-99.2951983,,,,
,19.3909815,-99.2439166,,,,
